Reference,X_mm,Y_mm,Rotation_deg,Side,Coordinate convention
J1,14.0,16,0,TOP,PCB origin upper-left; X right; Y down
J2,36.86,16,0,TOP,PCB origin upper-left; X right; Y down
J3,72,82,0,TOP,PCB origin upper-left; X right; Y down
F1,57,78,0,TOP,PCB origin upper-left; X right; Y down
Q1,59,67,0,TOP,PCB origin upper-left; X right; Y down
R1,54,67,0,TOP,PCB origin upper-left; X right; Y down
C1,80,70,0,TOP,PCB origin upper-left; X right; Y down
JP1,42,77,0,TOP,PCB origin upper-left; X right; Y down
J4,92,15,0,TOP,PCB origin upper-left; X right; Y down
R2,72,21,0,TOP,PCB origin upper-left; X right; Y down
R3,72,27,0,TOP,PCB origin upper-left; X right; Y down
J5,53,16,0,TOP,PCB origin upper-left; X right; Y down
J6,92,44,0,TOP,PCB origin upper-left; X right; Y down
R4,81,54,0,TOP,PCB origin upper-left; X right; Y down
U1,63,44,0,TOP,PCB origin upper-left; X right; Y down
C2,59,40,0,TOP,PCB origin upper-left; X right; Y down
R5,57,48,0,TOP,PCB origin upper-left; X right; Y down
R6,70,42,0,TOP,PCB origin upper-left; X right; Y down
J7,77,40,0,TOP,PCB origin upper-left; X right; Y down
J8,9,77,0,TOP,PCB origin upper-left; X right; Y down
J9,20,77,0,TOP,PCB origin upper-left; X right; Y down
J10,31,77,0,TOP,PCB origin upper-left; X right; Y down
R7,48,62,0,TOP,PCB origin upper-left; X right; Y down
R8,46,53,0,TOP,PCB origin upper-left; X right; Y down
R9,46,58,0,TOP,PCB origin upper-left; X right; Y down
C3,54,35,0,TOP,PCB origin upper-left; X right; Y down
TP1,69,61,0,TOP,PCB origin upper-left; X right; Y down
TP2,76,61,0,TOP,PCB origin upper-left; X right; Y down
TP3,46,36,0,TOP,PCB origin upper-left; X right; Y down
TP4,71,49,0,TOP,PCB origin upper-left; X right; Y down
